"","Genus","species","Model","site","constant_strt","E_a_strt","E_d_strt","T_pk_strt","B0_end","B0_se","Ea_end","Ea_se","Ed_end","Ed_se","Tpk_end","Tpk_se","AIC","BIC","R2","AIC.m","BIC.m","R2.m","b","b_se"
"11","Sympetrum","striolatum","No Mass","Porto",21.7626089440547,1.92216790957036,0.784926342999838,328.247880518352,0.0817069784218752,0.0118519193191909,0.873031201840419,0.093212201104698,3.51219027875085,1.00615137419451,310.474230730571,1.33438971556879,130.369515559769,143.085989471119,0.422770227709683,152.129813188739,164.846287100089,0.271657872709751,"NA","NA"
"12","Sympetrum","striolatum","No Mass","Jaca",29.8968131056125,0.815751261262701,1.6315025225254,303.15,0.0229139721568399,0.00588538925920073,1.56569223925287,0.466893644816605,1.91832609790671,0.322229455077865,302.434597569172,2.62084726322352,11.8480934531195,24.9236960373257,0.0144126627069749,11.8480934531195,24.9236960373257,0.0144126627069749,"NA","NA"
"13","Chironomus",NA,"0.75 Mass Corrected","Toledo",24.4504654081114,0.181973194160444,2.45411338769398,321.476391835799,0.0867380768042389,0.0279851308145744,1.24041361122464,0.689770358410672,1.24068808005,0.470316016818769,353.15,8704.13065031234,11.4161011065413,24.8267572421624,0.202212035462713,13.5803015276081,26.9909576632292,0.18582626437521,"NA","NA"
"14","Chironomus",NA,"0.75 Mass Corrected","Evora",40.3862533322328,1.4868775758293,2.20000720598361,333.238022706554,0.0643350880590944,0.00403775481879623,0.596336248552583,0.0375678936242584,27.9245362389679,701905.187475338,316.532173217462,32517.6643267401,-280.941409037683,-265.442076898562,0.67571076843748,-209.120772644295,-193.621440505174,0.4634381120346,"NA","NA"
"15","Chironomus",NA,"0.75 Mass Corrected","Porto",17.2590211780458,2.07891272578222,2.23425997613816,356.0596410279,0.0700422113809529,0.0222848683945545,0.83710841875999,0.371364658027342,0.844725188995842,0.169923710527134,353.15,751.447079419411,-45.0705430286328,-31.5681411996707,0.377517011202434,-38.1288738334401,-24.6264720044779,0.334202594792964,"NA","NA"
"16","Chironomus",NA,"0.75 Mass Corrected","Penalara",37.2464822865493,1.73328613285587,2.35916949730554,330.514635438504,0.00678362622165557,0.00172919677348984,0.906743280747527,0.085298694347124,31.272182602623,5689656.33476563,316.633903537814,222761.208333174,-158.903077537465,-145.927478286792,0.750066965171341,-77.8020342129367,-64.8264349622637,0.37858786682673,"NA","NA"
"17","Cloeon","dipterum","0.75 Mass Corrected","Murcia",21.3960122147862,3.59144927392879,0.229615958519505,323.856264263248,0.104674596430337,0.016009748711281,0.894745615917979,0.129128847889941,2.87239071371316,1.82228449716798,312.749808512823,1.81037303469996,48.6462580913664,58.4024766842735,0.664673612960344,61.5347252819677,71.2909438748749,0.566957903822088,"NA","NA"
"18","Cloeon","dipterum","0.75 Mass Corrected","Toledo",60.5012750347063,2.85721824566626,0.264131256980167,324.384530058883,0.0219421589165828,0.00385342955580893,1.75929906947469,0.18952080698444,2.02216439860026,0.213155362781298,310.204087117916,3.00020002447454,3.3838656400257,15.6556021212933,0.816130942483931,15.5289583488533,27.8006948301209,0.786751641513699,"NA","NA"
"19","Cloeon","dipterum","0.75 Mass Corrected","Evora",25.7784091758638,0.686958255993795,1.37391651198759,308.15,0.188223082836231,0.0148048070791823,0.691129843084492,0.0512829496194039,3.97327771291221,0.972178563166624,311.446129416895,1.10262525136687,144.574311279665,158.03105069081,0.57553059758446,190.542357703638,203.999097114783,0.346844991465163,"NA","NA"
"20","Cloeon","dipterum","0.75 Mass Corrected","Porto",24.7228489987001,1.05910355473069,1.08137081753755,278.854017325055,0.124954937724121,0.00899419686964181,0.771744134128164,0.046926388619092,3.16176238965421,0.575575108637275,310.857673601135,0.829367861640664,-1.52615954626822,11.5987045201532,0.747020642680073,33.8876317948603,47.0124958612817,0.625289953069454,"NA","NA"
"21","Sympetrum","striolatum","0.75 Mass Corrected","Toledo",75.9851727440121,0.154861393988847,0.334247819963283,287.092460966274,0.0292601005918398,0.00762702971049883,1.7237328591094,0.107833852836218,1.72377755590944,0.329076731489397,353.15,47419.3561729539,22.71300089579,34.3004414634716,0.462812806316227,22.8906506752232,34.4780912429048,0.461535969217117,"NA","NA"
"22","Sympetrum","striolatum","0.75 Mass Corrected","Evora",18.3788752804252,0.673135398967612,1.35328571711082,280.336195631985,0.220875556184959,0.0189169374732868,0.77208785707937,0.0708399808959823,2.88379440930494,0.384212227750323,307.862590246813,0.949307432473076,88.5916082562597,102.139259262821,0.636219224065663,110.533508816873,124.081159823435,0.533963915237281,"NA","NA"
"23","Sympetrum","striolatum","0.75 Mass Corrected","Porto",21.7626089440547,1.92216790957036,0.784926342999838,328.247880518352,0.0904840584023896,0.0102393846267334,0.807697267685452,0.0655424198595503,5.15512802161086,1.09469115804427,311.449017188007,1.02415310417752,85.2341099270816,97.9505838384316,0.532299010105921,117.021108704222,129.737582615572,0.339230901404148,"NA","NA"
"24","Sympetrum","striolatum","0.75 Mass Corrected","Jaca",29.8968131056125,0.815751261262701,1.6315025225254,303.15,0.0359570381046368,0.00576109069340541,0.9035336847712,0.0841106707090717,3.23814194060761,0.551593806378406,308.812268757992,1.05475080713634,-43.3261052843974,-30.2505027001911,0.552875704943833,-6.94649802917318,6.12910455503311,0.346137077462924,"NA","NA"
"25","Chironomus",NA,"Free Mass Scaling","Toledo",22.443773273412,1.57118949107943,2.42707611188345,284.441019900285,0.149049200703621,0.0515832852732352,0.533954705303063,0.0762807520296346,28.2382201220256,1685845.50883183,316.514523743413,78534.7933888445,-172.857668553294,-156.764881190549,0.517055327912058,-134.45672118782,-118.363933825075,0.302885925518369,"1.37798371088461","0.262016590947465"
"26","Chironomus",NA,"Free Mass Scaling","Evora",23.4991684914784,1.09572397693929,2.20484439659644,292.152276253922,0.0725604026899788,0.0422449119694877,0.597608706371831,0.0422650031143311,29.7853800651262,2780616.34637666,316.636858741941,112955.56243617,-504.036832267491,-485.437633700546,0.643095209584287,-467.265254115915,-448.666055548969,0.529763324891375,"0.942720265046524","0.517719080044291"
"27","Chironomus",NA,"Free Mass Scaling","Porto",22.429724266944,1.46141717510969,2.19773087730207,325.780224832813,0.11194776484784,0.0914913310157244,0.959304094609352,0.660154363003049,0.962560014766404,0.20670055131837,353.15,1792.92170747802,-203.096273443111,-186.893391248356,0.360048353306121,-196.859946404925,-180.65706421017,0.321365544622569,"1.32340749553187","0.61804620151205"
"28","Chironomus",NA,"Free Mass Scaling","Penalara",31.7438790408674,1.59445142367486,2.7536934149863,347.770901591287,0.00671125135654169,0.00378560064083647,0.91222744589413,0.0870468604225944,29.5175200038612,2227809.8178287,316.565968204221,96174.0086249249,-251.643009546589,-236.072290445781,0.641208243422448,-221.625306114414,-206.054587013607,0.474928815030899,"0.799585152667564","0.535642637085159"
"29","Cloeon","dipterum","Free Mass Scaling","Murcia",10.1706473571579,3.23659501922102,0.607248692364175,323.968794257066,0.09936940877495,0.0281599300353745,0.892741720834075,0.133451047780321,2.76893269053742,2.10422178685644,312.864756567318,1.83046635509816,-9.22377655764095,2.48368575384762,0.622903735616646,-2.28579839631987,9.42166391516868,0.568598119178822,"0.717137070839249","0.35877072419577"
"30","Cloeon","dipterum","Free Mass Scaling","Toledo",38.9635820637251,4.29778517424112,0.277745625303143,326.603027947127,0.0181833752503,0.00363611313783573,1.59297567891245,0.169095223173124,2.17418560545212,0.339851291836675,310.020855600358,1.49903664435404,6.5425474347997,21.2686312123208,0.772163858324653,15.0990608270169,29.8251446045379,0.747292583821401,"0.217634744478869","0.325759989618341"
"31","Cloeon","dipterum","Free Mass Scaling","Evora",23.4928006049026,0.551647513371885,0.898269829875398,299.369539139686,0.167622104905642,0.0260932254368622,0.665011350628646,0.0567856963452887,4.17564365105004,1.49855032095592,312.147133094098,1.54023853550273,59.8449177301919,75.9930050235667,0.617301006900987,80.9224163921168,97.0705036854916,0.530200846042943,"0.616656959534327","0.295239489153237"
"32","Cloeon","dipterum","Free Mass Scaling","Porto",39.9614905418413,0.47786402444524,1.36988082854804,321.098943482985,0.0600830970219427,0.009191260074341,1.11354280835494,0.2562871822214,1.11546502563715,0.14656599855433,353.15,1591.52355660298,-14.3517251057501,1.39811177395551,0.62088734415191,-10.7455743555604,5.00426252414518,0.601943914891449,"-0.970200422423421","0.329785994139384"
"33","Sympetrum","striolatum","Free Mass Scaling","Toledo",37.5791513240935,5.65813788607813,0.393685430633283,319.967451807738,0.0938344086029231,0.0608659673147328,1.07575351081712,0.137403257883654,3.49036095843755,1.42482454947638,312.09005423605,1.5286500361041,-40.1760465021083,-26.2711178208905,0.343476256263837,-30.723717599307,-16.8187889180892,0.254815775682749,"2.14073365404039","0.928955925795085"
"34","Sympetrum","striolatum","Free Mass Scaling","Evora",42.5175848518427,1.10552728250979,1.1833269798905,308.451589207171,0.155846326768045,0.0618650273538125,0.802174355558047,0.0958908233952705,2.56376825560463,0.447962654038681,307.505962163329,1.19122798650701,281.860323917142,298.117505125016,0.47252270222891,286.723755642201,302.980936850075,0.446943499266763,"1.24052953485239","0.588739706110415"
"35","Sympetrum","striolatum","Free Mass Scaling","Porto",59.5278316531159,0.115448464067206,0.301115291416308,289.989176255235,0.0829419774266781,0.0406438830239271,1.52509179510281,1.34904780166528,1.5251770587874,1.20956085439137,353.15,22169.6289242049,155.930926359954,171.190695053574,0.258337926782092,156.378896113136,171.638664806756,0.254740674233493,"0.174986264701775","0.508752146286827"
"36","Sympetrum","striolatum","Free Mass Scaling","Jaca",18.5138553401913,0.0701759231854686,0.351849690856559,301.908951275376,0.0242656318841392,0.00774347068301292,1.54939384737895,2.176739730762,1.54946255725334,2.6991931793565,353.15,57577.3761829382,4.63171651993807,20.3224396209857,0.10036737259559,4.98643593837801,20.6771590394256,0.0972012924993496,"0.917327596258995","0.343602314897019"
